fecha,tpm,imacec,ipc,dolar
2004-01-01,,3.3,-0.2,
2004-01-02,2.25,,,593.8
2004-01-05,2.25,,,587.69
2004-01-06,2.25,,,579.43
2004-01-07,2.25,,,565.18
2004-01-08,2.25,,,567.83
2004-01-09,1.75,,,568.61
2004-01-12,1.75,,,560.51
2004-01-13,1.75,,,559.21
2004-01-14,1.75,,,563.65
2004-01-15,1.75,,,572.08
2004-01-16,1.75,,,569.56
2004-01-19,1.75,,,577.4
2004-01-20,1.75,,,572.69
2004-01-21,1.75,,,567.13
2004-01-22,1.75,,,564.83
2004-01-23,1.75,,,565.76
2004-01-26,1.75,,,573.19
2004-01-27,1.75,,,578.61
2004-01-28,1.75,,,577.5
2004-01-29,1.75,,,585.03
2004-01-30,1.75,,,596.78
2004-02-01,,5.0,0.0,
2004-02-02,1.75,,,591.42
2004-02-03,1.75,,,577.27
2004-02-04,1.75,,,581.18
2004-02-05,1.75,,,587.3
2004-02-06,1.75,,,595.34
2004-02-09,1.75,,,598.6
2004-02-10,1.75,,,586.96
2004-02-11,1.75,,,583.23
2004-02-12,1.75,,,582.45
2004-02-13,1.75,,,577.01
2004-02-16,1.75,,,576.4
2004-02-17,1.75,,,579.8
2004-02-18,1.75,,,572.55
2004-02-19,1.75,,,571.35
2004-02-20,1.75,,,581.24
2004-02-23,1.75,,,585.28
2004-02-24,1.75,,,586.65
2004-02-25,1.75,,,589.75
2004-02-26,1.75,,,588.02
2004-02-27,1.75,,,594.32
2004-03-01,1.75,6.4,0.4,592.87
2004-03-02,1.75,,,588.04
2004-03-03,1.75,,,590.28
2004-03-04,1.75,,,598.86
2004-03-05,1.75,,,601.38
2004-03-08,1.75,,,593.22
2004-03-09,1.75,,,593.47
2004-03-10,1.75,,,593.96
2004-03-11,1.75,,,601.1
2004-03-12,1.75,,,600.8
2004-03-15,1.75,,,601.4
2004-03-16,1.75,,,604.56
2004-03-17,1.75,,,605.71
2004-03-18,1.75,,,607.91
2004-03-19,1.75,,,603.35
2004-03-22,1.75,,,606.96
2004-03-23,1.75,,,607.64
2004-03-24,1.75,,,610.69
2004-03-25,1.75,,,614.62
2004-03-26,1.75,,,614.51
2004-03-29,1.75,,,617.15
2004-03-30,1.75,,,618.29
2004-03-31,1.75,,,623.21
2004-04-01,1.75,5.5,0.4,616.41
2004-04-02,1.75,,,610.55
2004-04-05,1.75,,,609.36
2004-04-06,1.75,,,605.7
2004-04-07,1.75,,,603.91
2004-04-08,1.75,,,606.83
2004-04-12,1.75,,,601.36
2004-04-13,1.75,,,599.56
2004-04-14,1.75,,,596.61
2004-04-15,1.75,,,603.77
2004-04-16,1.75,,,605.73
2004-04-19,1.75,,,601.84
2004-04-20,1.75,,,599.36
2004-04-21,1.75,,,600.75
2004-04-22,1.75,,,609.06
2004-04-23,1.75,,,614.13
2004-04-26,1.75,,,613.11
2004-04-27,1.75,,,610.62
2004-04-28,1.75,,,616.28
2004-04-29,1.75,,,622.15
2004-04-30,1.75,,,624.84
2004-05-01,,5.6,0.5,
2004-05-03,1.75,,,624.98
2004-05-04,1.75,,,624.31
2004-05-05,1.75,,,622.25
2004-05-06,1.75,,,622.62
2004-05-07,1.75,,,630.61
2004-05-10,1.75,,,638.64
2004-05-11,1.75,,,644.42
2004-05-12,1.75,,,640.95
2004-05-13,1.75,,,641.76
2004-05-14,1.75,,,642.62
2004-05-17,1.75,,,638.22
2004-05-18,1.75,,,641.69
2004-05-19,1.75,,,639.36
2004-05-20,1.75,,,635.44
2004-05-24,1.75,,,643.31
2004-05-25,1.75,,,640.78
2004-05-26,1.75,,,637.47
2004-05-27,1.75,,,638.59
2004-05-28,1.75,,,634.81
2004-05-31,1.75,,,632.32
2004-06-01,1.75,5.5,0.4,636.02
2004-06-02,1.75,,,642.39
2004-06-03,1.75,,,641.89
2004-06-04,1.75,,,643.06
2004-06-08,1.75,,,644.61
2004-06-09,1.75,,,640.96
2004-06-10,1.75,,,644.83
2004-06-11,1.75,,,649.43
2004-06-14,1.75,,,649.45
2004-06-15,1.75,,,648.03
2004-06-16,1.75,,,648.4
2004-06-17,1.75,,,649.39
2004-06-18,1.75,,,648.16
2004-06-21,1.75,,,646.61
2004-06-22,1.75,,,646.47
2004-06-23,1.75,,,643.42
2004-06-24,1.75,,,641.62
2004-06-25,1.75,,,634.35
2004-06-29,1.75,,,634.25
2004-06-30,1.75,,,636.59
2004-07-01,1.75,6.9,0.2,636.3
2004-07-02,1.75,,,632.42
2004-07-05,1.75,,,630.39
2004-07-06,1.75,,,630.87
2004-07-07,1.75,,,632.01
2004-07-08,1.75,,,632.27
2004-07-09,1.75,,,631.95
2004-07-12,1.75,,,636.34
2004-07-13,1.75,,,634.07
2004-07-14,1.75,,,634.72
2004-07-15,1.75,,,631.86
2004-07-16,1.75,,,629.65
2004-07-19,1.75,,,622.34
2004-07-20,1.75,,,622.32
2004-07-21,1.75,,,623.46
2004-07-22,1.75,,,627.68
2004-07-23,1.75,,,627.53
2004-07-26,1.75,,,631.86
2004-07-27,1.75,,,639.07
2004-07-28,1.75,,,644.37
2004-07-29,1.75,,,642.81
2004-07-30,1.75,,,638.37
2004-08-01,,9.0,0.4,
2004-08-02,1.75,,,641.4
2004-08-03,1.75,,,643.76
2004-08-04,1.75,,,641.6
2004-08-05,1.75,,,643.81
2004-08-06,1.75,,,641.86
2004-08-09,1.75,,,639.52
2004-08-10,1.75,,,638.76
2004-08-11,1.75,,,637.36
2004-08-12,1.75,,,639.75
2004-08-13,1.75,,,640.86
2004-08-16,1.75,,,640.25
2004-08-17,1.75,,,638.77
2004-08-18,1.75,,,635.12
2004-08-19,1.75,,,635.24
2004-08-20,1.75,,,631.61
2004-08-23,1.75,,,633.22
2004-08-24,1.75,,,630.33
2004-08-25,1.75,,,626.13
2004-08-26,1.75,,,627.03
2004-08-27,1.75,,,628.61
2004-08-30,1.75,,,626.56
2004-08-31,1.75,,,628.95
2004-09-01,1.75,8.6,0.1,625.1
2004-09-02,1.75,,,626.76
2004-09-03,1.75,,,625.55
2004-09-06,1.75,,,623.69
2004-09-07,1.75,,,621.93
2004-09-08,2.0,,,622.56
2004-09-09,2.0,,,620.32
2004-09-10,2.0,,,617.67
2004-09-13,2.0,,,618.33
2004-09-14,2.0,,,615.71
2004-09-15,2.0,,,615.46
2004-09-16,2.0,,,615.14
2004-09-20,2.0,,,611.06
2004-09-21,2.0,,,609.84
2004-09-22,2.0,,,612.63
2004-09-23,2.0,,,613.19
2004-09-24,2.0,,,613.85
2004-09-27,2.0,,,613.51
2004-09-28,2.0,,,611.87
2004-09-29,2.0,,,606.46
2004-09-30,2.0,,,606.96
2004-10-01,2.0,8.0,0.3,608.9
2004-10-04,2.0,,,608.1
2004-10-05,2.0,,,603.47
2004-10-06,2.0,,,600.31
2004-10-07,2.0,,,600.84
2004-10-08,2.0,,,602.92
2004-10-12,2.0,,,596.6
2004-10-13,2.0,,,598.05
2004-10-14,2.0,,,603.18
2004-10-15,2.0,,,608.92
2004-10-18,2.0,,,611.03
2004-10-19,2.0,,,608.33
2004-10-20,2.0,,,608.8
2004-10-21,2.0,,,615.85
2004-10-22,2.0,,,612.25
2004-10-25,2.0,,,607.51
2004-10-26,2.0,,,611.98
2004-10-27,2.0,,,612.72
2004-10-28,2.0,,,610.61
2004-10-29,2.0,,,615.2
2004-11-01,,9.9,0.3,
2004-11-02,2.0,,,613.89
2004-11-03,2.0,,,609.19
2004-11-04,2.0,,,605.89
2004-11-05,2.0,,,601.87
2004-11-08,2.0,,,601.32
