,ret_ANTO.L,ret_PUCOBRE.SN,ret_CAP.SN,ret_SQM-B.SN,ret_SCCO,ret_FCX,ret_BHP,ret_GLEN.L,dl_cobre_comex,dl_usdclp,dl_dxy,dl_sp500,dl_ech,dl_wti
ret_ANTO.L,1.0,0.1342527692385114,0.3282161864290729,0.3100503339447529,0.5675172907428097,0.5536513208905312,0.6240402435106679,0.6879671416363096,0.5347704641898827,0.0019449645617722554,-0.2196989625546646,0.3958725552227994,0.4617668250061075,0.2720396552755236
ret_PUCOBRE.SN,0.1342527692385114,1.0,0.14862320295010087,0.13533440468749489,0.12253677157716505,0.11346628510892837,0.10077249424071844,0.12539028116696163,0.14196598359595558,0.002549072607082133,-0.04522099315168145,0.08654663765387129,0.17667910735824127,0.03563833909454479
ret_CAP.SN,0.3282161864290729,0.14862320295010087,1.0,0.3565216308966192,0.32105576808394015,0.34027563986103465,0.3719523273738874,0.3056268303035015,0.24521480562315146,-0.01711775821136004,-0.13504721504634737,0.28767055235630096,0.477020259048977,0.18192538894609722
ret_SQM-B.SN,0.3100503339447529,0.13533440468749489,0.3565216308966192,1.0,0.37352010382869627,0.3751249518484763,0.3758379131858553,0.25244755716938,0.23610958977394889,-0.004591973783267262,-0.11636029537087353,0.3609179053987808,0.4777301836993393,0.18997312376381617
ret_SCCO,0.5675172907428097,0.12253677157716505,0.32105576808394015,0.37352010382869627,1.0,0.759983117878812,0.743896250052296,0.48557730321789533,0.522736423491044,-0.007373392355132483,-0.30336115107964484,0.6220048428004507,0.5520919524329505,0.2854111170550176
ret_FCX,0.5536513208905312,0.11346628510892837,0.34027563986103465,0.3751249518484763,0.759983117878812,1.0,0.7391399730485738,0.5430472723238867,0.5147140195575067,0.002966468058799021,-0.2947882666532793,0.6050551267143492,0.5238080967427794,0.34765013458465693
ret_BHP,0.6240402435106679,0.10077249424071844,0.3719523273738874,0.3758379131858553,0.743896250052296,0.7391399730485738,1.0,0.5951826282728501,0.4752066533186514,0.004454737643069381,-0.3449053664438392,0.6767979652459232,0.5669738967543981,0.35802681795568275
ret_GLEN.L,0.6879671416363096,0.12539028116696163,0.3056268303035015,0.25244755716938,0.48557730321789533,0.5430472723238867,0.5951826282728501,1.0,0.4474751505753522,-0.008304607790676734,-0.1297880618793305,0.36166585617598285,0.376156127998783,0.2670111631047182
dl_cobre_comex,0.5347704641898827,0.14196598359595558,0.24521480562315146,0.23610958977394889,0.522736423491044,0.5147140195575067,0.4752066533186514,0.4474751505753522,1.0,-0.008386913991142622,-0.3053678916201282,0.2768177175294346,0.39352119813545583,0.3071888626747521
dl_usdclp,0.0019449645617722554,0.002549072607082133,-0.01711775821136004,-0.004591973783267262,-0.007373392355132483,0.002966468058799021,0.004454737643069381,-0.008304607790676734,-0.008386913991142622,1.0,0.006943786582029591,0.004304168109610151,-0.00812163716045291,-0.0025141048197378792
dl_dxy,-0.2196989625546646,-0.04522099315168145,-0.13504721504634737,-0.11636029537087353,-0.30336115107964484,-0.2947882666532793,-0.3449053664438392,-0.1297880618793305,-0.3053678916201282,0.006943786582029591,1.0,-0.16753182040774783,-0.2863808175429123,-0.1568619572012277
dl_sp500,0.3958725552227994,0.08654663765387129,0.28767055235630096,0.3609179053987808,0.6220048428004507,0.6050551267143492,0.6767979652459232,0.36166585617598285,0.2768177175294346,0.004304168109610151,-0.16753182040774783,1.0,0.5904878276312262,0.24665146029730292
dl_ech,0.4617668250061075,0.17667910735824127,0.477020259048977,0.4777301836993393,0.5520919524329505,0.5238080967427794,0.5669738967543981,0.376156127998783,0.39352119813545583,-0.00812163716045291,-0.2863808175429123,0.5904878276312262,1.0,0.25146845586456784
dl_wti,0.2720396552755236,0.03563833909454479,0.18192538894609722,0.18997312376381617,0.2854111170550176,0.34765013458465693,0.35802681795568275,0.2670111631047182,0.3071888626747521,-0.0025141048197378792,-0.1568619572012277,0.24665146029730292,0.25146845586456784,1.0
