serie,tipo,ADF_stat,ADF_p,PP_stat,PP_p,KPSS_stat,KPSS_p,conclusion
lprice_ANTO.L,nivel,-0.933,0.7769,-1.1642,0.6888,7.6678,0.0001,I(1)
lprice_PUCOBRE.SN,nivel,0.5071,0.9851,0.5671,0.9868,7.557,0.0001,I(1)
lprice_CAP.SN,nivel,-3.2574,0.0169,-3.2844,0.0156,1.3211,0.0004,I(0)
lprice_SQM-B.SN,nivel,-1.8809,0.3411,-1.8207,0.3703,9.7917,0.0001,I(1)
lprice_SCCO,nivel,-0.8938,0.79,-0.854,0.8027,10.3301,0.0001,I(1)
lprice_FCX,nivel,-1.8442,0.3588,-1.9244,0.3207,1.8786,0.0001,I(1)
lprice_BHP,nivel,-1.7537,0.4037,-1.6897,0.4364,7.6423,0.0001,I(1)
lprice_GLEN.L,nivel,-1.9897,0.2911,-2.0842,0.2509,1.4721,0.0002,I(1)
l_cobre_comex,nivel,-2.5472,0.1044,-2.6432,0.0844,4.3453,0.0001,I(1)
l_usdclp,nivel,-1.1052,0.713,-28.6206,0.0,10.3927,0.0001,I(1)
l_dxy,nivel,-1.5235,0.5218,-1.5926,0.4873,8.5799,0.0001,I(1)
l_sp500,nivel,0.7397,0.9906,0.6956,0.9897,11.9006,0.0001,I(1)
l_ipsa,nivel,-2.4143,0.1377,-2.155,0.223,7.6193,0.0001,I(1)
l_wti,nivel,-3.7506,0.0035,-3.5439,0.0069,0.6928,0.0135,I(0)
ust10y,nivel,-1.791,0.3849,-1.7819,0.3895,3.083,0.0001,I(1)
ust5y,nivel,-1.3683,0.5974,-1.4307,0.5674,2.2059,0.0001,I(1)
ust13w,nivel,-1.0598,0.7308,-0.7821,0.8243,2.2532,0.0001,I(1)
ret_ANTO.L,retorno,-17.4113,0.0,-80.49,0.0,0.0854,0.6618,I(0)
ret_PUCOBRE.SN,retorno,-12.3239,0.0,-72.5768,0.0,0.2909,0.1436,I(0)
ret_CAP.SN,retorno,-27.5285,0.0,-65.9802,0.0,0.315,0.123,I(0)
ret_SQM-B.SN,retorno,-28.1756,0.0,-72.2766,0.0,0.1291,0.4606,I(0)
ret_SCCO,retorno,-44.3502,0.0,-76.8117,0.0,0.0718,0.7413,I(0)
ret_FCX,retorno,-75.9384,0.0,-75.9511,0.0,0.0773,0.7082,I(0)
ret_BHP,retorno,-78.3841,0.0,-78.8247,0.0,0.0897,0.6384,I(0)
ret_GLEN.L,retorno,-17.6296,0.0,-62.7411,0.0,0.1901,0.2881,I(0)
dl_cobre_comex,diferencia,-82.0666,0.0,-81.86,0.0,0.1277,0.4659,I(0)
dl_usdclp,diferencia,-21.0156,0.0,-420.7255,0.0,0.1341,0.4424,I(0)
dl_dxy,diferencia,-24.939,0.0,-75.9798,0.0,0.0599,0.815,I(0)
dl_sp500,diferencia,-18.4892,0.0,-86.6633,0.0,0.22,0.2323,I(0)
dl_ipsa,diferencia,-14.1093,0.0,-54.624,0.0,0.2081,0.2529,I(0)
dl_wti,diferencia,-12.3171,0.0,-77.9179,0.0,0.059,0.8206,I(0)
d_ust10y,diferencia,-15.1727,0.0,-77.3611,0.0,0.1915,0.285,I(0)
