activo,modelo,AIC,BIC,loglik,alpha,beta,gamma_asimetria,persistencia
ANTO.L,"GARCH(1,1)",26675.4,26708.8,-13332.7,0.052,0.9392,,0.9912
ANTO.L,"GJR-GARCH(1,1)",26661.1,26701.2,-13324.6,0.0316,0.94,0.038,
ANTO.L,"EGARCH(1,1)",26665.7,26705.7,-13326.8,0.1132,0.9892,-0.0308,
PUCOBRE.SN,"GARCH(1,1)",11785.5,11818.9,-5887.8,0.3092,0.2955,,0.6047
PUCOBRE.SN,"GJR-GARCH(1,1)",6641.6,6681.7,-3314.8,1.0,0.5,-1.0,
PUCOBRE.SN,"EGARCH(1,1)",14621.0,14661.1,-7304.5,71.8553,1.0,-50.8645,
CAP.SN,"GARCH(1,1)",25006.3,25039.6,-12498.1,0.138,0.8565,,0.9945
CAP.SN,"GJR-GARCH(1,1)",24987.9,25028.0,-12488.0,0.1094,0.8503,0.0732,
CAP.SN,"EGARCH(1,1)",25003.0,25043.0,-12495.5,0.2777,0.9638,-0.0448,
SQM-B.SN,"GARCH(1,1)",24440.7,24474.0,-12215.3,0.0537,0.9455,,0.9992
SQM-B.SN,"GJR-GARCH(1,1)",24438.6,24478.7,-12213.3,0.049,0.9408,0.0197,
SQM-B.SN,"EGARCH(1,1)",24411.0,24451.0,-12199.5,0.1213,0.9931,-0.0171,
