activo,var,coef,se_HAC,t,p
ANTO.L,const,0.004,0.0281,0.1416,0.8874
ANTO.L,dl_cobre_comex,0.702,0.0461,15.2355,0.0
ANTO.L,dl_usdclp,0.0015,0.0003,4.5428,0.0
ANTO.L,dl_dxy,-0.1875,0.1011,-1.855,0.0636
ANTO.L,dl_sp500,0.3013,0.083,3.6319,0.0003
ANTO.L,dl_ech,0.3149,0.0406,7.7467,0.0
ANTO.L,d_ust10y,4.4141,0.8457,5.2197,0.0
ANTO.L,d_vix,0.0017,0.0437,0.0385,0.9693
ANTO.L,d_tpm,-0.6415,0.4691,-1.3676,0.1714
PUCOBRE.SN,const,0.0351,0.0239,1.469,0.1418
PUCOBRE.SN,dl_cobre_comex,0.0843,0.0194,4.3456,0.0
PUCOBRE.SN,dl_usdclp,0.0005,0.0005,1.02,0.3077
PUCOBRE.SN,dl_dxy,0.0604,0.0588,1.027,0.3044
PUCOBRE.SN,dl_sp500,-0.0639,0.0437,-1.46,0.1443
PUCOBRE.SN,dl_ech,0.138,0.0311,4.4407,0.0
PUCOBRE.SN,d_ust10y,1.1613,0.5264,2.2061,0.0274
PUCOBRE.SN,d_vix,-0.0136,0.0283,-0.48,0.6312
PUCOBRE.SN,d_tpm,-0.1581,0.1682,-0.9399,0.3473
CAP.SN,const,-0.0176,0.0351,-0.5025,0.6153
CAP.SN,dl_cobre_comex,0.1521,0.0266,5.7165,0.0
CAP.SN,dl_usdclp,-0.0025,0.0011,-2.2718,0.0231
CAP.SN,dl_dxy,-0.0096,0.0974,-0.0986,0.9214
CAP.SN,dl_sp500,0.0384,0.0612,0.627,0.5307
CAP.SN,dl_ech,0.6687,0.0551,12.1389,0.0
CAP.SN,d_ust10y,2.2272,0.9127,2.4403,0.0147
CAP.SN,d_vix,0.0351,0.0383,0.9165,0.3594
CAP.SN,d_tpm,-0.439,0.284,-1.5458,0.1221
SQM-B.SN,const,0.0314,0.0318,0.9874,0.3234
SQM-B.SN,dl_cobre_comex,0.1088,0.0263,4.1383,0.0
SQM-B.SN,dl_usdclp,-0.0003,0.0005,-0.6772,0.4983
SQM-B.SN,dl_dxy,0.0733,0.1078,0.6797,0.4967
SQM-B.SN,dl_sp500,0.2085,0.0739,2.8198,0.0048
SQM-B.SN,dl_ech,0.5714,0.0472,12.1191,0.0
SQM-B.SN,d_ust10y,1.4049,0.6516,2.1561,0.0311
SQM-B.SN,d_vix,-0.0114,0.0451,-0.2537,0.7997
SQM-B.SN,d_tpm,0.3114,0.4572,0.6811,0.4958
SCCO,const,0.0105,0.0248,0.4216,0.6733
SCCO,dl_cobre_comex,0.4888,0.0515,9.4834,0.0
SCCO,dl_usdclp,-0.0009,0.0018,-0.4673,0.6403
SCCO,dl_dxy,-0.5525,0.0816,-6.7737,0.0
SCCO,dl_sp500,1.0008,0.0938,10.6696,0.0
SCCO,dl_ech,0.193,0.0394,4.894,0.0
SCCO,d_ust10y,0.7824,0.6725,1.1635,0.2446
SCCO,d_vix,0.0114,0.0318,0.3575,0.7207
SCCO,d_tpm,-0.0669,0.2884,-0.232,0.8165
FCX,const,-0.0344,0.0314,-1.0964,0.2729
FCX,dl_cobre_comex,0.6267,0.0617,10.1608,0.0
FCX,dl_usdclp,0.0014,0.0007,2.1002,0.0357
FCX,dl_dxy,-0.6037,0.1171,-5.1565,0.0
FCX,dl_sp500,1.1081,0.0915,12.1167,0.0
FCX,dl_ech,0.2338,0.0563,4.1522,0.0
FCX,d_ust10y,2.0392,0.7584,2.6887,0.0072
FCX,d_vix,-0.0227,0.0424,-0.5362,0.5918
FCX,d_tpm,-0.2768,0.3851,-0.7189,0.4722
BHP,const,-0.0112,0.0215,-0.5236,0.6006
BHP,dl_cobre_comex,0.3156,0.0299,10.5601,0.0
BHP,dl_usdclp,0.0013,0.0004,3.5879,0.0003
BHP,dl_dxy,-0.7554,0.0722,-10.4622,0.0
BHP,dl_sp500,0.8603,0.0542,15.8609,0.0
BHP,dl_ech,0.1756,0.0307,5.7159,0.0
BHP,d_ust10y,1.7861,0.5414,3.2989,0.001
BHP,d_vix,-0.0775,0.0291,-2.6614,0.0078
BHP,d_tpm,-0.2037,0.318,-0.6408,0.5217
GLEN.L,const,-0.0341,0.0322,-1.0615,0.2884
GLEN.L,dl_cobre_comex,0.5839,0.0602,9.7048,0.0
GLEN.L,dl_usdclp,-0.0012,0.0008,-1.5818,0.1137
GLEN.L,dl_dxy,0.0829,0.1306,0.6347,0.5256
GLEN.L,dl_sp500,0.3834,0.0717,5.3502,0.0
GLEN.L,dl_ech,0.2488,0.0412,6.0452,0.0
GLEN.L,d_ust10y,6.3704,0.7691,8.283,0.0
GLEN.L,d_vix,0.018,0.0466,0.3866,0.6991
GLEN.L,d_tpm,-0.1952,0.5559,-0.3511,0.7255
