horizonte,dl_cobre_comex,dl_usdclp,dl_dxy,dl_sp500,ret_ANTO.L
0,28.68,0.0,0.28,7.25,63.79
1,28.16,0.0,0.34,8.14,63.35
2,28.1,0.01,0.34,8.33,63.22
3,28.04,0.01,0.41,8.37,63.16
4,27.99,0.03,0.41,8.51,63.06
5,27.96,0.04,0.43,8.5,63.07
6,28.01,0.04,0.44,8.5,63.01
7,27.98,0.04,0.44,8.49,63.05
8,27.85,0.08,0.49,8.54,63.04
9,27.83,0.11,0.49,8.55,63.01
10,27.79,0.12,0.59,8.58,62.91
11,27.79,0.12,0.59,8.59,62.9
12,27.79,0.12,0.59,8.59,62.9
13,27.79,0.12,0.59,8.59,62.9
14,27.79,0.12,0.59,8.59,62.9
15,27.79,0.12,0.59,8.6,62.9
16,27.79,0.12,0.59,8.59,62.9
17,27.79,0.12,0.59,8.59,62.9
18,27.79,0.12,0.59,8.59,62.9
19,27.79,0.12,0.59,8.6,62.9
