horizonte,dl_cobre_comex,dl_usdclp,dl_dxy,dl_sp500,ret_PUCOBRE.SN
0,2.03,0.0,0.0,0.39,97.57
1,2.58,0.0,0.0,0.78,96.64
2,2.88,0.0,0.02,0.83,96.26
3,3.07,0.0,0.04,0.85,96.03
4,3.65,0.0,0.09,0.93,95.33
5,4.01,0.0,0.1,1.06,94.83
6,4.1,0.0,0.1,1.06,94.74
7,4.1,0.01,0.11,1.18,94.61
8,4.14,0.01,0.17,1.18,94.51
9,4.15,0.01,0.17,1.23,94.45
10,4.31,0.01,0.18,1.34,94.15
11,4.31,0.01,0.18,1.34,94.14
12,4.31,0.01,0.18,1.35,94.14
13,4.32,0.01,0.18,1.35,94.14
14,4.32,0.01,0.18,1.35,94.13
15,4.32,0.01,0.18,1.35,94.13
16,4.32,0.01,0.19,1.35,94.13
17,4.32,0.02,0.19,1.35,94.13
18,4.32,0.02,0.19,1.35,94.13
19,4.32,0.02,0.19,1.35,94.13
